Date,Icon,Type,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
3/31/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/31/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/31/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/31/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/31/21,Sushi,Lunch,561.00,13.75,30,71.25,2.5,8.75,2.5,63.75,343.75
3/31/21,Sushi,Lunch,451.00,7.5,12.5,82.5,1.25,8.75,3.75,0,796.25
3/31/21,Cake,Lunch,293.00,18,4.5,19.5,7.5,4.88,0.3,39,330
3/31/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/31/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/31/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/31/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/30/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/30/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/30/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/30/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/30/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/30/21,Beef,Lunch,826.00,57.56,77.8,0,22.51,0,0,243.53,162.35
3/30/21,Mushroom,Lunch,44.00,0.73,3.39,8.25,0.9,3.65,3.43,0,3.12
3/30/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/30/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/30/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/29/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/29/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/29/21,Sausage,Breakfast,67.00,4.67,8,0.67,1.33,0.67,0,33.33,286.67
3/29/21,Coffee,Breakfast,2.00,0.5,0.28,0,0,0,0,0,4.74
3/29/21,Fern,Breakfast,45.00,0.15,4.2,9.77,0.2,3.34,5.96,0,59.6
3/29/21,Rice,Lunch,242.00,0.39,4.43,53.18,0.11,0,0.56,0,0
3/29/21,Chicken,Lunch,330.00,7.14,62.4,0,2.2,0,0,170,148
3/29/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/29/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/29/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/29/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/28/21,Fern,Breakfast,45.00,0.15,4.2,9.77,0.2,3.34,5.96,0,59.6
3/28/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
3/28/21,Tortilla,Breakfast,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/28/21,Coleslaw,Breakfast,298.00,9.97,4.93,47.41,1.45,0,5.73,30.56,87.86
3/28/21,Beer,Lunch,259.00,0,2.77,21.37,0,0,0,0,24.8
3/28/21,Cheeseburger,Lunch,500.00,14,15,30,5,0,1,70,67
3/28/21,FrenchFries,Lunch,135.00,8.23,1.18,13.52,1.47,0.59,1.18,0,241.4
3/28/21,Bagel,Dinner,360.00,2.1,13.76,69.95,0.29,0,3.1,0,699.54
3/28/21,Fish,Dinner,166.00,6.12,25.91,0,1.3,0,0,32.6,2835
3/28/21,Tofu,Dinner,103.00,10.27,1.78,1.22,5.79,0.96,0,33,96.3
3/27/21,Tostada,Breakfast,400.00,22,20,22,8,3,2,390,630
3/27/21,Quesadilla,Breakfast,500.00,21,16,23,9,0,2,45,745
3/27/21,Watermelon,Breakfast,91.00,0.46,1.85,22.95,0.3,18.85,1.22,0,3.4
3/27/21,Pasta,Lunch,332.00,1.95,12.18,64.81,0.36,1.18,3.78,0,2.1
3/27/21,Pizza,Lunch,544.00,19.59,24.53,67.11,8.69,8.28,3.5,43.26,1102.1
3/27/21,Salad,Lunch,14.00,0.6,1,2.57,0.1,1.28,0.8,0,20.77
3/27/21,Tortilla,Dinner,262.00,3.42,6.84,53.57,0.54,1.6,7.56,0,54
3/27/21,Beef,Dinner,290.00,12.12,42.44,0,5.3,0,0,0,0
3/26/21,Egg,Breakfast,143.00,9.51,12.56,0.72,3.13,0.37,0,372,142
